,Name,Album,Artist
0,Heaven,TIM,Avicii
1,Nobody,Nobody,NOTD
2,Hero,Hero,Afrojack
3,Sideways,Sideways,ILLENIUM
4,Leave A Little Love,Leave A Little Love,Alesso
5,Problems,Problems,Don Diablo
6,Higher Love,Higher Love,Kygo
7,That Feeling (feat. Hayley May),That Feeling (feat. Hayley May),Danny Quest
8,Stay Mine,Stay Mine,Timmy Trumpet
9,Used To Be (feat. Wiz Khalifa),Used To Be (feat. Wiz Khalifa),Steve Aoki
10,Love Tonight - David Guetta Remix Edit,Love Tonight (David Guetta Remix),Shouse
11,Going Dumb,Going Dumb,Alesso
12,Best Is Yet To Come (with Kyle Reynolds),Best Is Yet To Come (with Kyle Reynolds),Gryffin
13,Set Me Free (feat. MAX),Set Me Free (feat. MAX),Oliver Heldens
14,Letters,Letters To Remember,Lucas & Steve
15,Turn Back Time,Turn Back Time,Diplo
16,Memories (feat. Kid Cudi) - 2021 Remix,Memories (feat. Kid Cudi) [2021 Remix],David Guetta
17,Miles To Go,Miles To Go,Kaskade
18,Breathe (feat. kaspara),Breathe (feat. kaspara),Syn Cole
19,The Best,The Best,Hook N Sling
20,Silver Lining,Silver Lining,Andrew Rayel
21,Gotta Be You,Gotta Be You,NERVO
22,Places,Places,Drove
23,Take Your Time,Take Your Time,ARTY
24,Pressure (feat. Tove Lo),Pressure (feat. Tove Lo),Martin Garrix
25,Paradise (feat. Dermot Kennedy),Paradise,MEDUZA
26,Wish You Were Here (feat. Brandyn Burnette),Wish You Were Here (feat. Brandyn Burnette),Afrojack
27,Learn To Love Again,Learn To Love Again,Audien
28,Everything,Everything,3LAU
29,Lose You,The London Sessions,Tiësto
30,BED,BED,Joel Corry
31,By Your Side (feat. Tom Grennan),By Your Side (feat. Tom Grennan),Calvin Harris
32,42,Say It Like You Feel It,Cash Cash
33,Anything,Anything,Alison Wonderland
34,Closer (feat. Lilly Ahlberg),Closer (feat. Lilly Ahlberg),Sonny Fodera
35,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis
36,Colours,Colours,Mat Zo
37,Bridged By A Lightwave - Radio Edit,Bridged By A Lightwave,deadmau5
38,Use Your Love (feat. Goldford),Use Your Love (feat. Goldford),Sam Feldt
39,The Business,The Business,Tiësto
40,Around The World (feat. NOUMENN),Around The World (feat. NOUMENN),KSHMR
41,Close to You (feat. PollyAnna),6OKI - Rave Royale EP,Steve Aoki
42,Big Love (with Wrabel),Big Love (with Wrabel),Klingande
43,Coming Over - VIP,Very Important Music,Dillon Francis
44,Through The Storm,Through The Storm,Don Diablo
45,We'll Be Dancing Soon,We'll Be Dancing Soon,Dimitri Vegas & Like Mike
46,Tie Me Down (with Elley Duhé),Gravity,Gryffin
47,Revolving (feat. Marc E. Bassy) [MOTi Remix],Revolving (feat. Marc E. Bassy) [MOTi Remix],Yung Bae
48,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry
49,Fake A Smile,Fake A Smile,Alan Walker
50,Distant Memory (with Timmy Trumpet x W&W),Distant Memory (with Timmy Trumpet x W&W),R3HAB
51,Bad Bitches (feat. Megan Thee Stallion),Bad Bitches (feat. Megan Thee Stallion),Marshmello
52,Without You,Without You,Mike Williams
53,Impossible (feat. John Martin),Impossible (feat. John Martin),David Guetta
54,Yours,DREAMLAND 2021,ZHU
55,Young Summer,Young Summer,Tungevaag
56,Flame,Hardwell's Revealed Radio - Week 15,Hardwell
57,You Used To,You Used To,Nicky Romero
58,One Night Away,One Night Away,ARTY
59,Higher Power - Tiësto Remix,Higher Power (Tiësto Remix),Coldplay
60,Coming Home,Coming Home,Quintino
61,Wasted Love (feat. Lagique),Wasted Love (feat. Lagique),Ofenbach
62,Rise,Rise,Lost Frequencies
63,Echo (with KSHMR),Echo (with KSHMR),Armaan Malik
64,Rave Love,Rave Love,W&W
65,Stars Align (with Jolin Tsai),Stars Align (with Jolin Tsai),R3HAB
66,TOGETHER,PROGRESSO VOL 2,Alesso
67,Neon Lights,Neon Lights,LODATO
68,The Logical Song,The Logical Song,MATTN
69,Sicko Drop,Sicko Drop,KVSH
70,Home,Home,Maddix
71,Beautiful,Beautiful,Omnia
72,Remember the Summer (feat. Karra),Remember the Summer (feat. Karra),Ummet Ozcan
73,Skydance,Skydance,W&W
74,Ma Luv,Ma Luv,Oliver Heldens
