Name,Album,Artist
WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI
Holy (feat. Chance The Rapper),Holy,Justin Bieber
Lonely (with Jonas Brothers),Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Diplo
comethru,"summer,",Jeremy Zucker
"always, i'll care",love is not dying,Jeremy Zucker
Wishing Well,Legends Never Die,Juice WRLD
Changes,Changes,Justin Bieber
What Am I,What Am I,Why Don't We
Be Kind (with Halsey),Be Kind (with Halsey),Marshmello
Chills,Chills,Why Don't We
if i were u (with Lauv),if i were u (with Lauv),blackbear
To Die For,To Die For,Sam Smith
Six Feet Apart,Six Feet Apart,Alec Benjamin
I Warned Myself,I Warned Myself,Charlie Puth
It's Ok If You Forget Me,It's Ok If You Forget Me,Astrid S
Better Days,Better Days,OneRepublic
u n eye,u n eye,Boy In Space
Older,Balloons,Conor Matthews
cowboy in LA,cowboy in LA,LANY
Feel Again (Feat. Au/Ra),Things I Wanted To Tell You,Kina
Nobody Likes Moving On,Nobody Likes Moving On,SHY Martin
B.Y.S.,always,keshi
2 soon,2 soon,keshi
all the kids are depressed,glisten,Jeremy Zucker
Fallin’ (Adrenaline),Fallin’ (Adrenaline),Why Don't We
Lovesick Girls,THE ALBUM,BLACKPINK
"dear me,","dear me,",Gentle Bones
Fake,Fake,Lauv
Sofia,Immunity,Clairo
comethru (with Bea Miller),comethru,Jeremy Zucker
IDK You Yet,IDK You Yet,Alexander 23
scared,brent,Jeremy Zucker
Suffer,Nine Track Mind,Charlie Puth
Monster (Shawn Mendes & Justin Bieber),Wonder,Shawn Mendes
What Do You Mean?,Purpose (Deluxe),Justin Bieber
Upside Down (feat. Charlie Puth),Upside Down (feat. Charlie Puth),JVKE
Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn
Lemonade,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money
Reminds Me Of You,Reminds Me Of You,Juice WRLD
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby
Be Alright,Be Alright,Dean Lewis
Treat You Better,Illuminate,Shawn Mendes
Stitches,Handwritten (Deluxe),Shawn Mendes
Lost In Japan,Shawn Mendes,Shawn Mendes
Afterglow,Afterglow,Ed Sheeran
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth
The Way I Am,The Way I Am,Charlie Puth
Dangerously,Nine Track Mind,Charlie Puth
Easier – Remix (with Charlie Puth),Easier – Remix (with Charlie Puth),5 Seconds of Summer
Patient,Voicenotes,Charlie Puth
BOY,Voicenotes,Charlie Puth
LA Girls,Voicenotes,Charlie Puth
My Gospel,Nine Track Mind,Charlie Puth
Some Type of Love,Some Type of Love,Charlie Puth
Somebody Told Me,Voicenotes,Charlie Puth
Empty Cups,Voicenotes,Charlie Puth
Through It All,Voicenotes,Charlie Puth
Change (feat. James Taylor),Voicenotes,Charlie Puth
I Won't Tell a Soul,Some Type of Love,Charlie Puth
Hard On Yourself,Hard On Yourself,Charlie Puth
Love Somebody,Without You,Lauv
Unbelievable,Unbelievable,Why Don't We
supercuts,supercuts,Jeremy Zucker
Dynamite,BE,BTS
Blueberry Faygo,Certified Hitmaker,Lil Mosey
If I Can't Have You,If I Can't Have You,Shawn Mendes
Someone You Loved,Breach,Lewis Capaldi
Scars To Your Beautiful,Know-It-All (Deluxe),Alessia Cara
I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran
High Hopes,Pray for the Wicked,Panic! At The Disco
That's What I Like,24K Magic,Bruno Mars
At My Worst,The Prelude,Pink Sweat$
Anyone,Anyone,Justin Bieber
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn
What Am I,Big Plans,Why Don't We
Hooked,8 Letters,Why Don't We
No One Compares To You,A Good Friend Is Nice,Jack & Jack
Happy Now,Happy Now,Zedd
Polaroid,Blue,Jonas Blue
Perfect Strangers,Blue,Jonas Blue
Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony
History,Olivia,Olivia Holt
Does It Feel,Nine Track Mind (Deluxe Edition),Charlie Puth
Free,Only The Beginning,Why Don't We
Yummy,Yummy,Justin Bieber
FML,Living Facts,Arizona Zervas
Million Ways,Million Ways,HRVY
Rise,Blue,Jonas Blue
Heart On Ice,PTSD,Rod Wave
i'm so tired...,i'm so tired...,Lauv
Mama,Blue,Jonas Blue
Put Your Records On,Put Your Records On,Ritt Momney
drivers license,drivers license,Olivia Rodrigo
Domino,Who You Are (Platinum Edition),Jessie J
I Don't Know Why,I Don't Know Why,NOTD
Don't Wanna Cry,SEVENTEEN 4th Mini Album ‘Al1’,SEVENTEEN
Greek Tragedy - Oliver Nelson TikTok Remix,Greek Tragedy (Oliver Nelson TikTok Remix),The Wombats
Better With You,Better With You,Gentle Bones
Magic,Take Me Home (Expanded Edition),One Direction
They Don't Know About Us,Take Me Home (Expanded Edition),One Direction
