Name,Album,Artist
Leave The Door Open,Leave The Door Open,Bruno Mars
Dynamite,Dynamite (DayTime Version),BTS
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat
Perfect,÷ (Deluxe),Ed Sheeran
GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas
We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu
Dance Monkey,Dance Monkey,Tones And I
Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson
Sugar,V (Deluxe),Maroon 5
Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5
Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK
Useless,Useless,Two Friends
Roar,PRISM (Deluxe),Katy Perry
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars
Thinking out Loud,x (Deluxe Edition),Ed Sheeran
damn i love the rain,damn i love the rain,Gabriella Zauna
Intentions (feat. Quavo),Changes,Justin Bieber
That's What I Like,24K Magic,Bruno Mars
Makes Me Feel This Way,Makes Me Feel This Way,Nairobi
Lean On (feat. MØ & DJ Snake),Peace Is The Mission : Extended,Major Lazer
Barcelona,Barcelona,Andra
Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists
Hymn for the Weekend,A Head Full of Dreams,Coldplay
The Nights,Stories,Avicii
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
I Feel It Coming,Starboy,The Weeknd
No Lie,No Lie,Sean Paul
All of Me,Love In The Future (Expanded Edition),John Legend
Sweet Dreams - Radio Killer Remix,Sweet Dreams (Radio Killer Remix),Andra
Cheap Thrills (feat. Sean Paul),This Is Acting (Deluxe Version),Sia
Don't Start Now,Future Nostalgia,Dua Lipa
On The Floor,Love?,Jennifer Lopez
Closer,Closer,The Chainsmokers
The Real Slim Shady,The Marshall Mathers LP,Eminem
2002,2002,Anne-Marie
Sweater Weather,I Love You.,The Neighbourhood
Better,Better,Khalid
Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira
Adventure of a Lifetime,A Head Full of Dreams,Coldplay
It's My Life,Crush,Bon Jovi
Yummy,Yummy,Justin Bieber
24K Magic,24K Magic,Bruno Mars
Physical,Future Nostalgia,Dua Lipa
Cover Me In Sunshine,Cover Me In Sunshine,P!nk
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars
Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II (Deluxe Edition),Gym Class Heroes
Wake Me Up,TRUE,Avicii
Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled
Something Just Like This,Something Just Like This,The Chainsmokers
Waiting For Love,Stories,Avicii
Eenie Meenie,Eenie Meenie,Sean Kingston
Watermelon Sugar,Fine Line,Harry Styles
Night Changes,FOUR (Deluxe),One Direction
Say So,Hot Pink,Doja Cat
Electric,Electric,Katy Perry
Higher Power,Higher Power,Coldplay
My Head & My Heart,Heaven & Hell,Ava Max
Hold On,Hold On,Justin Bieber
Follow You,Follow You / Cutthroat,Imagine Dragons
BED,BED,Joel Corry
Run,Run,OneRepublic
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",34+35 (Remix),Ariana Grande
On The Ground,R,ROSÉ
Floating Through Space,Floating Through Space,Sia
Waves of Blue,Waves of Blue,Majid Jordan
Fireworks (feat. Moss Kena & The Knocks),Fireworks (feat. Moss Kena & The Knocks),Purple Disco Machine
Titans (feat. Sia & Labrinth),Music Is The Weapon (Reloaded),Major Lazer
Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo
Let’s Go Home Together,Let’s Go Home Together (Luca Schreiner Remix),Ella Henderson
Dancing On Dangerous (feat. Sofía Reyes),Dancing On Dangerous (feat. Sofía Reyes),Imanbek
Off My Face,Justice,Justin Bieber
Girl From Rio,Girl From Rio,Anitta
Treat People With Kindness,Fine Line,Harry Styles
Medicine,Medicine,James Arthur
Starstruck,Starstruck,Years & Years
Hey Boy (feat. Burna Boy),Hey Boy (feat. Burna Boy),Sia
Deserve You,Justice,Justin Bieber
Higher (feat. iann dior),Higher (feat. iann dior),Clean Bandit
