Name,Album,Artist
Heathens,Heathens,Twenty One Pilots
Attention,Voicenotes,Charlie Puth
There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes
Believer,Evolve,Imagine Dragons
Galway Girl,÷ (Deluxe),Ed Sheeran
Faded,Different World,Alan Walker
Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit
Fight Song,Wildfire,Rachel Platten
Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit
Shape of You,÷ (Deluxe),Ed Sheeran
Something Just Like This,Memories...Do Not Open,The Chainsmokers
Treat You Better,Illuminate (Deluxe),Shawn Mendes
Thunder,Evolve,Imagine Dragons
Havana (feat. Young Thug),Camila,Camila Cabello
Let Me Love You,Encore,DJ Snake
Mama,Blue,Jonas Blue
Alone,Different World,Alan Walker
That's What I Like,24K Magic,Bruno Mars
In the Name of Love,In the Name of Love,Martin Garrix
Wolves,Wolves,Selena Gomez
Mercy,Illuminate (Deluxe),Shawn Mendes
How Long,Voicenotes,Charlie Puth
Paris,Memories...Do Not Open,The Chainsmokers
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris
Perfect,÷ (Deluxe),Ed Sheeran
24K Magic,24K Magic,Bruno Mars
Friends (with BloodPop®),Friends (with BloodPop®),Justin Bieber
Look What You Made Me Do,reputation,Taylor Swift
Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato
Starboy,Starboy,The Weeknd
Perfect Strangers,Blue,Jonas Blue
Issues,Nervous System,Julia Michaels
My Way,My Way,Calvin Harris
Ride,Blurryface,Twenty One Pilots
More Than You Know,More Than You Know,Axwell /\ Ingrosso
What About Us,Beautiful Trauma,P!nk
Slow Hands,Flicker (Deluxe),Niall Horan
Your Song,Phoenix (Deluxe Edition),Rita Ora
Crying in the Club,Crying in the Club,Camila Cabello
Fetish (feat. Gucci Mane),Fetish (feat. Gucci Mane),Selena Gomez
Pretty Girl - Cheat Codes X CADE Remix,Pretty Girl (Cheat Codes X CADE Remix),Maggie Lindemann
...Ready For It?,reputation,Taylor Swift
Castle on the Hill,÷ (Deluxe),Ed Sheeran
Most Girls,Most Girls,Hailee Steinfeld
Silence,Silence,Marshmello
The Cure,The Cure,Lady Gaga
Glorious (feat. Skylar Grey),GEMINI,Macklemore
I Like Me Better,I met you when I was 18. (the playlist),Lauv
I Feel It Coming,Starboy,The Weeknd
Bon appétit,Witness (Deluxe),Katy Perry
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
Now Or Never,hopeless fountain kingdom (Deluxe),Halsey
1-800-273-8255,Everybody,Logic
Instruction,Tell Me You Love Me (Deluxe),Demi Lovato
OMG (feat. Quavo),OMG (feat. Quavo),Camila Cabello
Unforgettable,Jungle Rules,French Montana
Feel It Still,Woodstock,Portugal. The Man
Too Much To Ask,Flicker (Deluxe),Niall Horan
Green Light,Melodrama,Lorde
Gorgeous,reputation,Taylor Swift
Why,Why,Sabrina Carpenter
Young Dumb & Broke,American Teen,Khalid
Tell Me You Love Me,Tell Me You Love Me (Deluxe),Demi Lovato
No More Sad Songs (feat. Machine Gun Kelly),Glory Days: The Platinum Edition,Little Mix
Bad At Love,hopeless fountain kingdom (Deluxe),Halsey
Love So Soft,Meaning of Life,Kelly Clarkson
Perfect Places,Melodrama,Lorde
Good Old Days (feat. Kesha),GEMINI,Macklemore
I Got You,Expectations,Bebe Rexha
Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris
Good Life (with G-Eazy & Kehlani),The Fate of the Furious: The Album,Various Artists
Meant to Be (feat. Florida Georgia Line),Expectations,Bebe Rexha
Homemade Dynamite - REMIX,Melodrama,Lorde
Never Be the Same - Radio Edit,Camila,Camila Cabello
I Miss You (feat. Julia Michaels),What Is Love? (Deluxe Edition),Clean Bandit
Beautiful Trauma,Beautiful Trauma,P!nk
Let You Down,Perception,NF
rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone
Him & I (with Halsey),The Beautiful & Damned,G-Eazy
All Falls Down (feat. Juliander),Different World,Alan Walker
Whatever It Takes,Evolve,Imagine Dragons
At My Best (feat. Hailee Steinfeld),bloom,Machine Gun Kelly
Miss You,Miss You,Louis Tomlinson
Thumbs,EVOLution,Sabrina Carpenter
Reminding Me,My Side of Your Story,Shawn Hook
Finesse - Remix; feat. Cardi B,Finesse (Remix) [feat. Cardi B],Bruno Mars
On The Loose,Flicker (Deluxe),Niall Horan
Phases,Phases,ALMA
Obsessed,Obsessed,Maggie Lindemann
Just Hold On,Neon Future III,Steve Aoki
Broken Glass,Waves,Rachel Platten
Let Me,Icarus Falls,ZAYN
Whatever You Want,Beautiful Trauma,P!nk
Faking It (feat. Kehlani & Lil Yachty) - Radio Edit,Faking It (feat. Kehlani & Lil Yachty) [Radio Edit],Calvin Harris
The Middle,The Middle,Zedd
Complicated (feat. Kiiara),Complicated (feat. Kiiara),Dimitri Vegas & Like Mike
Want You Back,Youngblood (Deluxe),5 Seconds of Summer
One Foot,What If Nothing,WALK THE MOON
FRIENDS,Speak Your Mind (Deluxe),Anne-Marie
Heat,Meaning of Life,Kelly Clarkson
