Name,Album,Artist
good 4 u,SOUR,Olivia Rodrigo
Todo De Ti,Todo De Ti,Rauw Alejandro
Yonaguni,Yonaguni,Bad Bunny
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat
deja vu,SOUR,Olivia Rodrigo
Butter,"Butter (Hotter, Sweeter, Cooler)",BTS
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber
traitor,SOUR,Olivia Rodrigo
drivers license,SOUR,Olivia Rodrigo
happier,SOUR,Olivia Rodrigo
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin
Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf
Qué Más Pues?,Qué Más Pues?,J Balvin
Leave The Door Open,Leave The Door Open,Bruno Mars
favorite crime,SOUR,Olivia Rodrigo
Fiel,Los Legendarios 001,Los Legendarios
RAPSTAR,Hall of Fame,Polo G
Pareja Del Año,Pareja Del Año,Sebastian Yatra
Build a Bitch,Build a Bitch,Bella Poarch
Beggin',Chosen,Måneskin
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton
Blinding Lights,After Hours,The Weeknd
brutal,SOUR,Olivia Rodrigo
ZITTI E BUONI,Teatro d'ira - Vol. I,Måneskin
AM,AM,Nio Garcia
"jealousy, jealousy",SOUR,Olivia Rodrigo
DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny
Dynamite,BE,BTS
Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5
Lost Cause,Lost Cause,Billie Eilish
Solar Power,Solar Power,Lorde
2/Catorce,2/Catorce,Rauw Alejandro
Watermelon Sugar,Fine Line,Harry Styles
Heartbreak Anniversary,TAKE TIME,Giveon
Need To Know,Need To Know,Doja Cat
enough for you,SOUR,Olivia Rodrigo
The Business,The Business,Tiësto
Heat Waves,Dreamland (+ Bonus Levels),Glass Animals
telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis
Rasputin,Rasputin,Majestic
Save Your Tears,After Hours,The Weeknd
Your Love (9PM),Your Love (9PM),ATB
EL MAKINON,KG0516,KAROL G
Botella Tras Botella,Botella Tras Botella,Gera MX
Miénteme,Miénteme,TINI
Mood (feat. iann dior),El Dorado,24kGoldn
"1 step forward, 3 steps back",SOUR,Olivia Rodrigo
